"Region"	"County"	"year"	"R_redhunters"	"R_moosehunters"	"R_redharvest.West_tl1"	"R_redharvest.Region_tl1"
"South"	9	2017	73	-54	3589	128
"South"	10	2003	70	10	745	42
"South"	10	2004	90	-40	594	53
"South"	10	2005	200	-110	501	75
"South"	10	2006	90	-90	1601	48
"South"	10	2007	160	-70	1302	91
"South"	10	2008	169	5	3221	126
"South"	10	2009	220	126	2775	170
"South"	10	2010	236	-28	1819	99
"South"	10	2011	252	40	1155	120
"South"	10	2012	27	-47	-2213	-20
"South"	10	2013	102	59	-2034	140
"South"	10	2014	175	0	1076	-38
"South"	10	2015	75	25	-1125	1
"South"	10	2016	30	-117	-1572	129
"South"	10	2017	84	-32	3589	128
"Mid"	17	2003	70	130	745	54
"Mid"	17	2004	70	20	594	24
"Mid"	17	2005	120	10	501	21
"Mid"	17	2006	120	40	1601	79
"Mid"	17	2007	-10	-80	1302	29
"Mid"	17	2008	209	155	3221	30
"Mid"	17	2009	84	58	2775	-44
"Mid"	17	2010	47	56	1819	14
"Mid"	17	2011	110	124	1155	30
"Mid"	17	2012	31	-62	-2213	-53
"Mid"	17	2013	88	50	-2034	-15
"Mid"	17	2014	82	93	1076	54
"Mid"	17	2015	89	-25	-1125	-30
"Mid"	17	2016	111	71	-1572	95
"Mid"	17	2017	120	63	3589	117
"Mid"	18	2003	20	150	745	54
"Mid"	18	2004	10	40	594	24
"Mid"	18	2005	10	10	501	21
"Mid"	18	2006	0	30	1601	79
"Mid"	18	2007	20	20	1302	29
"Mid"	18	2008	52	221	3221	30
"Mid"	18	2009	36	131	2775	-44
"Mid"	18	2010	44	36	1819	14
"Mid"	18	2011	-3	145	1155	30
"Mid"	18	2012	6	86	-2213	-53
"Mid"	18	2013	0	82	-2034	-15
"Mid"	18	2014	-18	23	1076	54
"Mid"	18	2015	19	98	-1125	-30
"Mid"	18	2016	13	11	-1572	95
"Mid"	18	2017	34	80	3589	117
